name,x,y,abstention
Auenheim,8.017031417085768,48.80909856206315,17.945007235890014
Bischwiller,7.859938024645416,48.758508418072395,25.88714368819081
Dalhunden,7.991571756828308,48.77115266441718,20.46242774566474
Drusenheim,7.945516356643001,48.76094746605739,20.54567022538553
Forstfeld,8.047479718434479,48.8631114493461,24.206349206349206
Fort-Louis,8.05243245419603,48.798656155318874,16
Herrlisheim,7.910194013978693,48.73238919061475,18.130457113507962
Kauffenheim,8.032001408415626,48.854007106922346,18.115942028985508
Leutenheim,7.999985301842768,48.851700472419886,19.93355481727575
Neuhaeusel,8.092427770202422,48.81856434843433,12.878787878787879
Oberhoffen-sur-Moder,7.887583728657128,48.780216003775216,21.873847288823313
Offendorf,7.927371244773246,48.7147930530562,19.78021978021978
Rœschwoog,8.040502982143952,48.82274840413938,0
Rohrwiller,7.902735817110491,48.74988840160248,21.846370683579984
Roppenheim,8.066985889869818,48.83734023720181,17.78846153846154
Rountzenheim,7.998341605742663,48.82141538719243,16.19283065512979
Schirrhein,7.91647699299933,48.79575332422803,18.063112078346027
Schirrhoffen,7.924012652603839,48.80645572498081,16.206261510128915
Sessenheim,7.980454126448333,48.795141624394034,18.19798458802608
Soufflenheim,7.956460256688849,48.808474064813986,22.463972873693134
Stattmatten,8.017000993803542,48.79475732255294,16.57250470809793
Batzendorf,7.709423785543945,48.78198413542017,10.608020698576972
Berstheim,7.679837641522072,48.79278085186946,16.36828644501279
Dauendorf,7.665348449178002,48.83368662031668,15.48154815481548
Haguenau,7.830948501523062,48.84142263723279,24.009614146529895
Hochstett,7.676804379927304,48.775877285773504,11.379310344827587
Huttendorf,7.638684877302723,48.801101338761534,16.94915254237288
Kaltenhouse,7.83246941603747,48.78998554704163,25.879805089334056
Morschwiller,7.629452443553009,48.81941233635787,13.061224489795919
Niederschaeffolsheim,7.743875051237266,48.77250063591609,13.826940231935772
Ohlungen,7.694235556573734,48.81228118572071,14.723926380368098
Schweighouse-sur-Moder,7.737960172411691,48.81708957602167,18.052575107296136
Uhlwiller,7.674701268762464,48.82025096566512,15.23972602739726
Wahlenheim,7.686680249483642,48.76567326168762,10.249307479224377
Weitbruch,7.780386479864942,48.7621370135098,20.40485829959514
Wintershouse,7.7063150306893,48.79632149467368,12.83987915407855
Wittersheim,7.654743619977618,48.78026282634898,8.587786259541986
Bitschhoffen,7.624386854008067,48.862835799611965,11.428571428571429
Dambach,7.640835808095542,49.009473107045096,19.554848966613672
Engwiller,7.615633208045762,48.88171286222684,12.039312039312039
Gumbrechtshoffen,7.620831896341483,48.90296552702312,17.91967044284243
Gundershoffen,7.68211876060368,48.907373941051574,22.013235806339253
Kindwiller,7.595449693724318,48.86127620230475,11.717171717171718
La Walck,7.611705367805297,48.852490700303576,0
Mertzwiller,7.685734831509114,48.869993638957624,26.17898254734497
Mietesheim,7.64666678543335,48.87610034085317,17.84313725490196
Niederbronn-les-Bains,7.639884173623408,48.963859507685385,24.411134903640257
Oberbronn,7.596441641326893,48.93783955060394,23.809523809523807
Offwiller,7.542439840551774,48.917281683595384,19.02097902097902
Reichshoffen,7.675267194973917,48.937494251942674,22.081539630286148
Rothbach,7.511039511646197,48.9055692173977,20.34313725490196
Uberach,7.631213100874513,48.85184263545596,0
Uhrwiller,7.57978242260998,48.880985828661125,16.638935108153078
Uttenhoffen,7.64484458691273,48.89322853613518,16.57142857142857
Windstein,7.695610920927211,48.991323757357925,20.382165605095544
Zinswiller,7.580804357537402,48.91589421235623,20.35830618892508
Altorf,7.538982377333491,48.5247233627068,13.799448022079117
Avolsheim,7.494064279381027,48.56059138348443,22.5114854517611
Dachstein,7.540814561642192,48.55344856537597,18.70255348516218
Dinsheim-sur-Bruche,7.424111731861769,48.547308204489816,0
Dorlisheim,7.479908655063958,48.51984716161148,14.03420523138833
Duttlenheim,7.570567805229304,48.52408428814291,13.859649122807017
Ergersheim,7.534437437134442,48.57567133899153,13.495145631067961
Ernolsheim-Bruche,7.569215748913187,48.56386441822214,17.026850032743944
Gresswiller,7.409782546199762,48.524902294844736,23.394833948339482
Heiligenberg,7.377816576709589,48.53731992678599,16.725352112676056
Lutzelhouse,7.24157708860046,48.53801528354414,21.44344205412908
Molsheim,7.499494927528819,48.54472617539111,16.69140689427676
Muhlbach-sur-Bruche,7.311264445882437,48.51269404992931,20.772058823529413
Mutzig,7.455778032708318,48.5380448622812,26.501675689610728
Niederhaslach,7.349980067225974,48.53609158941739,18.72015281757402
Oberhaslach,7.29573970475628,48.5683364790233,18.08143547273982
Soultz-les-Bains,7.478104742725084,48.567594511651926,17.026683608640404
Still,7.3664334887289,48.566678765911405,17.889587700908454
Urmatt,7.295712382900523,48.53881189629488,18.909991742361683
Wolxheim,7.507576301428651,48.57025729147593,12.995049504950495
Bœrsch,7.376053148050065,48.46676978586367,0
Bischoffsheim,7.525488103088019,48.48545310783409,17.882265827471308
Grendelbruch,7.304424317856117,48.48138834761023,19.764279238440615
Griesheim-près-Molsheim,7.531135506509434,48.50203743703067,12.667054038349795
Mollkirch,7.365224284982126,48.505923118038034,17.852522639068564
Ottrott,7.366512006698096,48.44347027201013,14.22087745839637
Rosenwiller,7.42435663525023,48.508191873772766,14.310954063604239
Rosheim,7.411773793515151,48.49018136632404,18.56330014224751
Saint-Nabor,7.41757901901876,48.44151297021992,17.449664429530202
Bourg-Bruche,7.1437323154543755,48.358715139584646,21.787709497206702
Colroy-la-Roche,7.173869263288081,48.39149656591376,17.4934725848564
Plaine,7.136973876559939,48.424346251469096,17.142857142857142
